factors,responses
0.0,"[0.8819600616921228, 8.725995095806402]"
0.167,"[6.968403095600918, 8.030265165500298]"
0.333,"[8.396996061755972, 9.232140302973772]"
0.5,"[9.144569801113251, 17.675524446094776]"
0.667,"[1.8999700226057445, 12.965444789809844]"
0.833,"[9.89734049535991, 12.135656649465695]"
1.0,"[9.5910526913442, 13.557635584868345]"
1.167,"[3.2292007950534973, 17.44760665229069]"
1.333,"[9.48973159947008, 17.62139714026219]"
1.5,"[12.627372301152956, 25.46906797676378]"
1.667,"[11.834553752824942, 19.173170588710207]"
1.833,"[8.864160645659496, 19.31652218980547]"
2.0,"[15.751359576987404, 17.33594590206297]"
2.167,"[12.046035699111538, 23.342948828311386]"
2.333,"[15.704780995217163, 27.02679598723575]"
2.5,"[10.592734298799527, 25.35448476844494]"
2.667,"[17.01478232742202, 28.847007658601953]"
2.833,"[15.886457488631248, 24.59228217555529]"
3.0,"[14.894220275088037, 21.133512066591738]"
3.167,"[12.837348846453668, 26.161218793027828]"
3.333,"[19.103247659026007, 22.947720529099772]"
3.5,"[22.993430831359014, 24.78144207847896]"
3.667,"[17.02514247043489, 25.230963594836123]"
3.833,"[14.567956808983302, 27.493831593486906]"
4.0,"[17.76798368442296, 29.636031382377716]"
4.167,"[30.03273498411079, 33.33136924296324]"
4.333,"[25.190259863159504, 28.687867879633142]"
4.5,"[22.072877327231875, 27.476533690776108]"
4.667,"[23.374292941831545, 34.900847143179234]"
4.833,"[20.528105408188686, 33.496836520093275]"
5.0,"[25.458811480398257, 35.81612895453124]"
5.167,"[27.579770882754524, 31.307172102376285]"
5.333,"[22.542899378547915, 40.26201795959925]"
5.5,"[26.19280551923017, 32.60362008016367]"
5.667,"[30.531521480179652, 37.102901003556966]"
5.833,"[27.07312687329461, 34.9586798136148]"
6.0,"[32.51439091603157, 33.999693788548605]"
6.167,"[33.23504866994569, 34.2413897880466]"
6.333,"[34.59259901321822, 35.69752611212602]"
6.5,"[32.12689346385324, 35.72736155476889]"
6.667,"[26.35640728205201, 42.2909491910727]"
6.833,"[35.99109835935788, 42.57342740411099]"
7.0,"[34.70359421158089, 38.526808623113205]"
7.167,"[31.389864506490632, 42.10707947293754]"
7.333,"[34.30027638939188, 39.564327101843205]"
7.5,"[36.23087924424084, 39.559237001787814]"
7.667,"[35.63991019863931, 41.17386897472043]"
7.833,"[38.16980547529753, 40.52731420855265]"
8.0,"[37.30737865288583, 50.71887814473443]"
8.167,"[37.43078281328412, 42.389272298519415]"
8.333,"[38.559202147823314, 42.296186589823755]"
8.5,"[31.672396537688115, 45.28523428547294]"
8.667,"[42.415116553727685, 46.26175903238477]"
8.833,"[37.6022941525372, 45.687820793460325]"
9.0,"[38.389158848752274, 49.502793522521586]"
9.167,"[42.70384869956599, 49.68606298311132]"
9.333,"[34.53718070771373, 59.61738994911854]"
9.5,"[44.380114176887425, 46.97517218053796]"
9.667,"[44.16364265245526, 53.65124352300169]"
9.833,"[44.348516872485646, 49.80236128119528]"
10.0,"[45.163154320364136, 48.735753674907315]"
10.167,"[46.95902650314394, 51.74249149572909]"
10.333,"[42.13457426819491, 48.273134580923674]"
10.5,"[44.152812758659444, 51.77337774516373]"
10.667,"[41.496819169471046, 52.205091423098786]"
10.833,"[47.78610156905498, 56.72737111666821]"
11.0,"[50.62248732196393, 60.66856870773914]"
11.167,"[46.26931323577402, 51.49927473360883]"
11.333,"[47.78727219007875, 53.540198694352384]"
11.5,"[51.201968648791016, 57.25485607359935]"
11.667,"[49.89268437023118, 54.11020845332474]"
11.833,"[52.12953532347733, 55.11282146208746]"
12.0,"[49.017879454487684, 53.24120858643096]"
12.167,"[50.99104609874085, 60.49844741293961]"
12.333,"[51.851371545794684, 61.387725053760455]"
12.5,"[42.81076288219429, 57.24071163118807]"
12.667,"[48.95488927414068, 60.83628818430774]"
12.833,"[54.48561079227198, 56.76291955911566]"
13.0,"[55.02871893957716, 55.85127203912169]"
13.167,"[45.60103947273832, 57.10663988318939]"
13.333,"[50.00892145696772, 58.72870919022058]"
13.5,"[51.42096068614129, 58.33915437983727]"
13.667,"[48.894559808960665, 62.05082291102335]"
13.833,"[52.33504209886974, 59.386116564737755]"
14.0,"[56.179665323386715, 59.10693643289287]"
14.167,"[46.47314416362579, 61.83620564485542]"
14.333,"[58.09040435547384, 58.3672705084924]"
14.5,"[54.21541582424304, 63.808719141211874]"
14.667,"[55.540801889132446, 67.33245268010961]"
14.833,"[57.81804375943919, 60.43130346028358]"
15.0,"[50.32938577990172, 64.34672464641861]"
15.167,"[59.08857591247982, 69.68428335324312]"
15.333,"[57.537652749466105, 69.10685864252483]"
15.5,"[55.036141815026596, 65.28067865591314]"
15.667,"[56.837271634785566, 61.94275964460203]"
15.833,"[52.60616930693674, 63.57926613046657]"
16.0,"[55.578592404728916, 63.601473974222856]"
16.167,"[56.53030457843826, 69.59285079518752]"
16.333,"[58.20510465459798, 65.12127914304254]"
